Label,Value,Flag
Select Country (Passport Issued),Select Country (Passport Issued),true
Afghanistan,Afghanistan,true
Albania,Albania,true
Algeria,Algeria,true
American Samoa,American Samoa,true
Andorra,Andorra,true
Angola,Angola,true
Antigua And Barbuda,Antigua And Barbuda,true
Argentina,Argentina,true
Armenia,Armenia,true
Aruba,Aruba,true
Australia,Australia,true
Austria,Austria,true
Azerbaijan,Azerbaijan,true
Bahamas,Bahamas,true
Bahrain,Bahrain,true
Bangladesh,Bangladesh,true
Barbados,Barbados,true
Belarus,Belarus,true
Belgium,Belgium,true
Belize,Belize,true
Benin,Benin,true
Bermuda,Bermuda,true
Bhutan,Bhutan,true
Bolivia,Bolivia,true
Bosnia And Herzegovina,Bosnia And Herzegovina,true
Botswana,Botswana,true
Brazil,Brazil,true
British Indian Ocean Territory,British Indian Ocean Territory,true
British Virgin Islands,British Virgin Islands,true
Brunei Darussalam,Brunei Darussalam,true
Bulgaria,Bulgaria,true
Burkina Faso,Burkina Faso,true
Buruma (Myanmar),Buruma (Myanmar),true
Burundi,Burundi,true
Cambodia,Cambodia,true
Cameroon,Cameroon,true
Canada,Canada,true
Cape Verde,Cape Verde,true
Cayman Islands,Cayman Islands,true
Central African Republic,Central African Republic,true
Chad,Chad,true
Chile,Chile,true
China,China,true
Colombia,Colombia,true
Comoros,Comoros,true
Cook Islands,Cook Islands,true
Costa Rica,Costa Rica,true
Croatia,Croatia,true
Cuba,Cuba,true
Cyprus,Cyprus,true
Czech Republic,Czech Republic,true
Democratic Republic Of The Congo,Democratic Republic Of The Congo,true
Denmark,Denmark,true
Djibouti,Djibouti,true
Dominica,Dominica,true
Dominican Republic,Dominican Republic,true
Ecuador,Ecuador,true
Egypt,Egypt,true
El Salvador,El Salvador,true
Equatorial Guinea,Equatorial Guinea,true
Eritrea,Eritrea,true
Estonia,Estonia,true
Ethiopia,Ethiopia,true
Falkland Islands (Malvinas),Falkland Islands (Malvinas),true
Faroe Islands,Faroe Islands,true
Fiji,Fiji,true
Finland,Finland,true
France,France,true
French Guiana,French Guiana,true
French Polynesia,French Polynesia,true
French Southern Territories,French Southern Territories,true
Gabon,Gabon,true
Gambia,Gambia,true
Georgia,Georgia,true
Germany,Germany,true
Ghana,Ghana,true
Gibraltar,Gibraltar,true
Greece,Greece,true
Greenland,Greenland,true
Grenada,Grenada,true
